Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,Labelled energy consumption (kWh/year),SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number,Regulatory Standard
136326,Sony,KD-75X85J,,"Australia,New Zealand",Malaysia,189.306,15312.0,LCD (LED),0.5,15.6,0.75,233.4,N/A,N/A,859.0,Approved,2026-03-01,,Single product class,Unavailable,3.0,http://www.sony.com.au/,,3.4848619680720434,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4388,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136332,Sony,KD-85X85J,,"Australia,New Zealand",Malaysia,214.783,19712.16,LCD (LED),0.5,15.5,0.75,239.8,N/A,N/A,882.0,Approved,2026-02-26,,Single product class,Available,4.0,http://www.sony.com.au/,,4.454483994442147,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4387,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136372,HISENSE,65A7G,,"Australia,New Zealand",China,163.896,11478.122496000002,LCD (LED),0.296,0.0,0.0,107.54,N/A,N/A,458.0,Approved,2026-04-12,,Single product class,Available,5.0,http://global.hisense.com/,http://www.hisense.com.au,5.07670145267907,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4442,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136391,HISENSE,50A7G,,"Australia,New Zealand",China,125.731,6754.867344,LCD (LED),0.304,0.0,0.0,61.76,N/A,N/A,254.0,Approved,2026-04-12,,Single product class,Available,5.5,http://global.hisense.com/,http://www.hisense.com.au,5.519365722220251,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4440,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136407,HISENSE,55A7G,,"Australia,New Zealand",China,138.783,8230.118400000001,LCD (LED),0.296,0.0,0.0,75.31,N/A,N/A,304.0,Approved,2026-04-12,,Single product class,Available,5.5,http://global.hisense.com/,http://www.hisense.com.au,5.52322847238293,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4441,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136451,DEVANTi,STV-316W-UHD-65,,"Australia,Fiji,New Zealand",China,163.896,11478.122496000002,LCD (LED),0.29,0.36,4.0,151.11,N/A,N/A,554.0,Approved,2026-03-05,,Single product class,Available,4.0,http://www.konka.com/cn/Index.aspx,,4.223907358866596,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4394,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136492,PHILIPS,55OLED935/79,,"Australia,Fiji,New Zealand",China,138.798,8228.0,OLED,0.5,0.0,0.0,205.62,N/A,N/A,829.0,Approved,2026-03-18,,Single product class,Available,1.0,,,1.0264384592928637,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4409,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136610,Linsar,LS82UHDNF,,"Australia,Fiji,New Zealand",China,207.183,18341.826623999998,LCD (LED),0.28,0.37,4.0,168.2,N/A,N/A,651.0,Approved,2026-03-11,,Single product class,Available,5.5,,,5.50399093294664,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4399,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136638,Kogan,KALED70TU9220SKA,,"Australia,Fiji,New Zealand",China,176.555,13319.8528,LCD (LED),0.46,0.48,4.0,135.48,N/A,N/A,550.0,Approved,2026-03-17,,Single product class,Available,4.5,,,4.887499119778651,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4403,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136646,Linsar,LS65UHDNF,,"Australia,Fiji,New Zealand",China,163.896,11478.122496000002,LCD (LED),0.28,0.36,4.0,92.66,N/A,N/A,371.0,Approved,2026-03-12,,Single product class,Available,6.0,,,6.0207893291425405,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4400,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136650,HISENSE,32A4G,,"Australia,New Zealand",China,80.04,2736.7587940000003,LCD (LED),0.35,0.0,0.0,25.93,N/A,N/A,104.0,Approved,2026-04-12,,Single product class,Available,6.0,http://global.hisense.com/,http://www.hisense.com.au,6.051110422730285,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4443,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136653,HISENSE,55U7G,,"Australia,New Zealand",China,138.548,8211.7476,LCD (LED),0.45,0.0,0.0,96.71,N/A,N/A,380.0,Approved,2026-04-26,,Single product class,Available,4.5,http://global.hisense.com/,http://www.hisense.com.au,4.514000251781598,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4455,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136669,DEVANTI,STV-311W-UHD-75,,"Australia,Fiji,New Zealand",China,189.34,15318.517823999999,LCD (LED),-,-,-,203.37,N/A,N/A,760.0,Approved,2026-03-29,,Single product class,Available,4.0,,,4.035437844893428,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4430,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136675,LG,75QNED99TPB,,"Australia,New Zealand","Indonesia,South Korea",189.275,15307.5663,LCD (LED),0.4,0.0,0.0,247.0,N/A,N/A,904.0,Approved,2026-03-17,,Single product class,Available,3.0,,,3.254797646387012,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4402,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136676,LG,86QNED99TPB,,"Australia,New Zealand","Indonesia,South Korea",217.425,20200.7,LCD (LED),0.4,0.0,0.0,350.0,N/A,N/A,1280.0,Approved,2026-03-18,,Single product class,Available,2.5,,,2.8914909474885144,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4407,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136677,LG,75QNED91TPA,,"Australia,New Zealand","Indonesia,South Korea",189.275,15307.5663,LCD (LED),0.4,0.0,0.0,162.0,N/A,N/A,594.0,Approved,2026-03-18,,Single product class,Available,5.0,,,5.136770208696005,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4408,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136683,TCL,75C725,,"Australia,Fiji,New Zealand",China,189.306,15312.0,LCD (LED),0.304,0.0,0.0,128.3,7.0,7.01172383841875,517.0,Approved,2026-03-24,,Single product class,Unavailable,5.5,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,5.7601956915229815,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4422,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136684,TCL,65C725,,"Australia,Fiji,New Zealand",China,163.829,11466.84,LCD (LED),0.332,0.0,0.0,101.1,7.0,7.01172383841875,408.0,Approved,2026-03-23,,Single product class,Unavailable,5.5,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,5.590608970758261,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4418,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136685,TCL,55C725,,"Australia,Fiji,New Zealand",China,138.711,8221.2,LCD (LED),0.29,0.0,0.0,82.7,7.0,7.01172383841875,333.0,Approved,2026-03-24,,Single product class,Unavailable,5.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,5.110427211205168,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4423,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136687,TCL,50C725,,"Fiji,New Zealand",China,125.638,6745.2,LCD (LED),0.301,0.0,0.0,73.7,7.0,7.01172383841875,300.0,Approved,2026-03-24,,Single product class,Unavailable,4.5,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,4.767626426637194,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4424,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136688,TCL,75P725,,"Australia,Fiji,New Zealand",China,189.306,15312.0,LCD (LED),0.334,0.0,0.0,123.0,7.0,7.01172383841875,496.0,Approved,2026-03-23,,Single product class,Unavailable,5.5,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,5.9460265055406,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4419,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136689,TCL,50P725,,"Australia,Fiji,New Zealand",China,125.638,6745.2,LCD (LED),0.335,0.0,0.0,54.7,7.0,7.01172383841875,225.0,Approved,2026-03-26,,Single product class,Unavailable,6.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,6.056850653631297,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4428,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136690,TCL,43P725,,"Australia,Fiji,New Zealand",China,107.95,4977.889999999999,LCD (LED),0.338,0.0,0.0,46.1,7.0,7.01172383841875,190.0,Approved,2026-03-23,,Single product class,Unavailable,5.5,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,5.6001935544751715,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4420,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136691,TCL,85P725,,"Australia,Fiji,New Zealand",China,214.783,19712.16,LCD (LED),0.36,0.0,0.0,239.1,7.0,7.01172383841875,962.0,Approved,2026-03-24,,Single product class,Unavailable,4.0,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,4.065396368348663,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4425,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136701,JVC,JV50ID7A2021Q,,New Zealand,China,125.676,6740.4,LCD (LED),0.41,0.41,7.0,95.2,6.0,6.707104344456478,380.0,Approved,2121-03-18,,Single product class,Available,3.5,,https://www.thewarehouse.co.nz/,3.705378974542384,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ZTV0558,AS/NZS 62087.2.2:2011
136702,Veon,VN65ID7021,,New Zealand,China,163.791,11473.08,LCD (LED),0.37,0.37,7.0,134.4,7.0,7.018318781340881,580.0,Approved,2121-03-18,,Single product class,Available,4.0,,,4.016518199742423,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ZTV0559,AS/NZS 62087.2.2:2011
136713,Skyworth,55SUC9300,55SUC****,"Australia,Fiji,New Zealand","China,Indonesia",138.783,8230.118400000001,LCD (LED),0.4,0.52,4.0,78.8,N/A,N/A,303.0,Approved,2026-03-19,,Single product class,Available,5.5,,,5.537994285140893,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4412,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136713,Skyworth,55SUC9500,55SUC****,"Australia,Fiji,New Zealand","China,Indonesia",138.783,8230.118400000001,LCD (LED),0.4,0.52,4.0,78.8,N/A,N/A,303.0,Approved,2026-03-19,,Single product class,Available,5.5,,,5.537994285140893,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4412,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136713,Skyworth,55SUC****,55SUC****,"Australia,Fiji,New Zealand","China,Indonesia",138.783,8230.118400000001,LCD (LED),0.4,0.52,4.0,78.8,N/A,N/A,303.0,Approved,2026-03-19,,Single product class,Available,5.5,,,5.537994285140893,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4412,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136716,Skyworth,86SUC9500,86SUC****,"Australia,Fiji,New Zealand","China,Indonesia",217.427,20200.368384,LCD (LED),0.41,0.53,4.0,214.72,N/A,N/A,893.0,Approved,2026-03-17,,Single product class,Available,4.5,,,4.504860044520296,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4404,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136716,Skyworth,86SUC9000,86SUC****,"Australia,Fiji,New Zealand","China,Indonesia",217.427,20200.368384,LCD (LED),0.41,0.53,4.0,214.72,N/A,N/A,893.0,Approved,2026-03-17,,Single product class,Available,4.5,,,4.504860044520296,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4404,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136722,HISENSE,75A7G,,"Australia,New Zealand",China,189.274,15307.855004000001,LCD (LED),0.304,0.0,0.0,125.66,N/A,N/A,528.0,Approved,2026-04-26,,Single product class,Available,5.5,http://global.hisense.com/,http://www.hisense.com.au,5.664686296385817,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4453,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
136716,Skyworth,86G51,86SUC****,"Australia,Fiji,New Zealand","China,Indonesia",217.427,20200.368384,LCD (LED),0.41,0.53,4.0,214.72,N/A,N/A,893.0,Approved,2026-03-17,,Single product class,Available,4.5,,,4.504860044520296,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4404,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
