"Screen_Tech","Labelled energy consumption (kWh/year)","screensize_inch"
"OLED",1276,88
"OLED",1276,88
"OLED",802,97
"OLED",802,97
"LCD (LED)",1233,97
"LCD (LED)",1771,97
"LCD (LED)",1233,97
"OLED",944,97
"LCD (LED)",890,97
"OLED",802,97
"LCD (LED)",853,97
"OLED",802,97
"OLED",893,97
"OLED",893,97
"LCD (LED)",890,97
"LCD (LED)",909,97
"LCD (LED)",700,97
"OLED",835,97
"OLED",835,97
"OLED",926,97
"OLED",926,97
"LCD (LED)",769,97
"LCD (LED)",800,97
"LCD (LED)",1350,97
"LCD (LED)",1127,98
"LCD (LED)",1602,98
"LCD",823,98
"LCD (LED)",1028,98
"LCD (LED)",944,98
"LCD (LED)",1423,98
"LCD (LED)",1233,98
"LCD (LED)",1058,98
"LCD (LED)",872,98
"LCD (LED)",1233,98
"LCD (LED)",937,98
"LCD (LED)",1215,98
"LCD (LED)",999,98
"LCD (LED)",1284,98
"LCD (LED)",1233,98
"LCD (LED)",1434,98
"LCD (LED)",1215,98
"LCD (LED)",886,98
"LCD (LED)",1306,98
"LCD (LED)",1310,98
"LCD (LED)",955,100
"LCD (LED)",1190,100
"LCD (LED)",1070,100
"LCD (LED)",999,100
"LCD (LED)",1497,100
"OLED",1670,100
"LCD (LED)",952,100
"LCD (LED)",952,100
"LCD (LED)",1032,100
"LCD (LED)",1201,100
"LCD (LED)",888,100
"LCD (LED)",955,100
"LCD (LED)",988,100
"LCD (LED)",1028,100
"LCD (LED)",1058,100
"LCD (LED)",2652,114
"LCD (LED)",1100,114
"LCD (LED)",1565,114
"LCD (LED)",1148,116
